|SMC X-1       |01 17 05.10|-73 26 49.2| 6.500e-01|A4            |
|SMC X-2       |00 54 38.66|-72 40 45.4| 2.200e-01|A4            |
|SMC X-3       |00 52 05.73|-72 26 18.9| 1.000e-01|A4            |
|1627-673      |16 32 16.38|-67 28 00.4| 1.630e+00|A4            |
|LMC X-4       |05 32 49.98|-66 22 01.4| 5.700e-01|A4            |
|GX301-2       |12 26 38.27|-62 45 59.9| 5.170e+00|A4            |
|1417-624      |14 21 11.23|-62 41 54.6| 9.200e-01|A4            |
|1145-619      |11 47 57.60|-62 12 28.3| 5.400e-01|A4            |
|CEN X-3       |11 21 15.67|-60 37 26.9| 2.800e+00|A4            |
|GX304-1       |13 01 18.49|-60 35 56.1| 6.000e-01|A4            |
|CIR X-1       |15 20 40.36|-57 10 12.3| 4.100e-01|A4            |
|0918-549      |09 20 27.24|-55 12 10.7| 2.500e-01|A4            |
|1553-542      |15 57 48.67|-54 24 48.6| 1.200e-01|A4            |
|1636-536      |16 40 56.62|-53 45 23.0| 7.100e-01|A4            |
|1608-522      |16 12 41.06|-52 25 39.7| 4.900e-01|A4            |
|1538-522      |15 42 25.43|-52 23 20.8| 6.000e-01|A4            |
|1624-490      |16 28 03.75|-49 12 02.8| 1.270e+00|A4            |
|GX339-4       |17 02 49.73|-48 46 51.4| 1.230e+00|A4            |
|GX340+0       |16 45 47.71|-45 36 38.3| 2.850e+00|A4            |
|0833-450      |08 35 19.72|-45 11 01.4| 3.300e-01|A4            |
|1735-444      |17 38 58.06|-44 26 51.8| 1.030e+00|A4            |
|1705-440      |17 08 55.84|-44 06 13.1| 1.210e+00|A4            |
|1702-429      |17 06 14.97|-43 02 12.4| 3.300e-01|A4            |
|1322-427      |13 25 53.59|-42 58 10.8| 1.810e+00|A4            |
|1657-415      |16 59 55.13|-41 46 27.1| 2.170e+00|A4            |
|VELA X-1      |09 02 08.01|-40 33 28.2| 6.080e+00|A4            |
|1700-377      |17 03 57.48|-37 50 21.8| 5.360e+00|A4            |
|1822-371      |18 25 35.94|-37 05 27.7| 9.200e-01|A4            |
|1746-370      |17 50 11.99|-37 01 26.3| 6.100e-01|A4            |
|GX349+2       |17 05 45.47|-36 25 38.1| 3.660e+00|A4            |
|GX354-0       |17 31 58.86|-33 50 09.4| 1.600e-01|A4            |
|1755-338      |17 58 40.02|-33 48 49.1| 7.500e-01|A4            |
|RAPID BURSTER |17 33 24.55|-33 23 03.1| 1.110e+00|A4            |
|1743-322      |17 45 39.67|-32 13 09.8| 2.580e+00|A4            |
|1820-303      |18 23 41.46|-30 21 47.6| 1.990e+00|A4            |
|1658-298      |17 02 10.82|-29 56 28.8| 9.900e-01|A4            |
|NEAR GAL. CENT|17 45 59.41|-29 31 08.2| 4.870e+00|A4            |
|GX359+2       |17 38 33.72|-28 28 40.5| 6.100e-01|A4            |
|GX3+1         |17 47 55.02|-26 33 59.6| 1.540e+00|A4            |
|1705-250      |17 08 13.68|-25 05 39.0| 1.750e+00|A4            |
|GX5-1         |18 01 07.35|-25 04 49.8| 5.090e+00|A4            |
|GX1+4         |17 32 01.80|-24 44 44.6| 7.020e+00|A4            |
|GX9+1         |18 01 32.30|-20 31 47.8| 2.230e+00|A4            |
|1745-203      |17 49 00.86|-20 23 06.5| 4.600e-01|A4            |
|GX13+1        |18 14 32.68|-17 09 14.8| 9.300e-01|A4            |
|GX9+9         |17 31 44.26|-16 57 21.5| 7.700e-01|A4            |
|SCO X-1       |16 19 55.32|-15 38 21.4| 4.581e+01|A4            |
|GX17+2        |18 16 02.36|-14 01 56.1| 3.720e+00|A4            |
|MKN 509       |20 43 29.59|-11 22 44.8| 5.000e-02|A4            |
|1850-087      |18 53 05.28|-08 41 51.8| 5.000e-02|A4            |
|SCT X-1       |18 36 06.64|-07 41 52.6| 1.670e+00|A4            |
|1916-053      |19 18 49.12|-05 14 15.6| 4.500e-01|A4            |
|1822-000      |18 25 21.72|-00 00 38.9| 3.300e-01|A4            |
|AQL X-1       |19 11 16.28|+00 35 01.3| 7.500e-01|A4            |
|1226+023      |12 28 31.00|+01 56 01.1| 3.600e-01|A4            |
|SER X-1       |18 39 56.71|+05 02 12.5| 5.500e-01|A4            |
|0614+091      |06 17 06.00|+09 07 15.3| 3.400e-01|A4            |
|1907+097      |19 10 10.93|+09 36 45.1| 7.200e-01|A4            |
|1228+125      |12 30 36.59|+12 25 26.2| 1.500e-01|A4            |
|0531+219      |05 34 31.68|+22 00 45.7| 2.658e+01|A4            |
|1415+253      |14 17 54.23|+25 19 47.2| 2.000e-01|A4            |
|0535+262      |05 38 54.53|+26 18 26.8| 3.200e-01|A4            |
|0352+309      |03 55 22.26|+31 02 44.3| 1.000e-01|A4            |
|1954+319      |19 55 52.27|+32 04 25.6| 2.600e-01|A4            |
|CYG X-1       |19 58 21.51|+35 12 23.2| 2.377e+01|A4            |
|HER X-1       |16 57 50.43|+35 20 39.8| 1.710e+00|A4            |
|CYG X-2       |21 44 40.22|+38 19 13.8| 1.500e+00|A4            |
|1208+396      |12 10 24.28|+39 30 42.8| 7.000e-01|A4            |
|CYG X-3       |20 32 21.64|+40 57 39.0| 4.170e+00|A4            |
|0316+413      |03 19 47.32|+41 30 38.3| 4.600e-01|A4            |
|1814+498      |18 16 33.89|+49 51 33.6| 1.600e-01|A4            |
|0115+634      |01 18 32.41|+63 44 34.2| 6.000e-01|A4            |
|GRS 1915+105  |19 15 11.55|+10 56 44.8| 2.658e+01|              |
